Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
linoleoyl-CoA[p]	13	8.657	0.0083031	0.49594	4.5707	0.83741	0.96733	24.241	0.053845	0.14931	8	20.097	0.025893	0.14894	5	13.666	0.35215	0.718
cis,cis-3,6-dodecadienoyl-CoA[p]	5	-9.2545	0.84799	0.99976	15.097	0.22714	0.58505	15.945	0.13005	0.25368	1	7.2563	0.2509	0.39801	4	14.199	0.22029	0.63481
trans-3-decenoyl-CoA[p]	5	-17.306	0.99116	0.99976	28.99	0.011551	0.081297	17.821	0.074101	0.18216	0	NA	NA	NA	5	17.821	0.096311	0.54572
(2E)-docosenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxodocosanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-eicosenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxoeicosanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-octadecenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxooctadecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-hexadecenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxopalmitoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-tetradecenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxotetradecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-dodecenoyl-CoA[m]	9	2.9471	0.12958	0.81038	4.8374	0.72803	0.9623	25.8	0.0101	0.094452	4	21.435	0.0075534	0.12041	5	15.442	0.21942	0.63481
3-oxododecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
decanoyl-CoA[m]	5	14.392	0.0017455	0.16772	-12.205	0.98763	0.99247	19.168	0.046935	0.14396	4	18.718	0.020887	0.14204	1	5.424	0.49905	0.79202
(2E)-decenoyl-CoA[m]	6	-3.42	0.50883	0.99976	10.102	0.44652	0.80351	19.611	0.052621	0.14805	2	13.848	0.061447	0.23259	4	14.227	0.21845	0.63481
3-oxodecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
3-oxooctanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
3-oxohexanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-heneicosenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxoheneicosanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-nonadecenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxononadecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-heptadecenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxoheptadecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-pentadecenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxopentadecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(2E)-tridecenoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxotridecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
undecanoyl-CoA[m]	5	14.392	0.0017455	0.16772	-12.205	0.98763	0.99247	19.168	0.046935	0.14396	4	18.718	0.020887	0.14204	1	5.424	0.49905	0.79202
3-oxoundecanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
nonanoyl-CoA[m]	5	14.392	0.0017455	0.16772	-12.205	0.98763	0.99247	19.168	0.046935	0.14396	4	18.718	0.020887	0.14204	1	5.424	0.49905	0.79202
3-oxononanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
heptanoyl-CoA[m]	5	14.392	0.0017455	0.16772	-12.205	0.98763	0.99247	19.168	0.046935	0.14396	4	18.718	0.020887	0.14204	1	5.424	0.49905	0.79202
3-oxoheptanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
3-oxopentanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
trans,cis-2,13-eicosadienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxo-13-cis-eicosenoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
trans,cis-octadeca-2,11-dienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxo-11-cis-octadecenoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
trans,cis-hexadeca-2,9-dienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxopalmitoleoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
trans,cis-myristo-2,7-dienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxomyrist-7-enoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(5Z)-dodecenoyl-CoA[m]	6	10.158	0.015429	0.52224	-1.9753	0.87503	0.96733	22.469	0.017482	0.11111	4	19.768	0.014333	0.14204	2	10.962	0.22527	0.63481
(13Z)-eicosenoyl-CoA[p]	13	8.657	0.0083031	0.49594	4.5707	0.83741	0.96733	24.241	0.053845	0.14931	8	20.097	0.025893	0.14894	5	13.666	0.35215	0.718
trans,cis-2,13-docosadienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxo-13cis-docosenoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
trans,cis-2,11-eicosadienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxo-11-cis-eicosenoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
trans,cis-octadeca-2,9-dienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxooleoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
trans,cis-hexadeca-2,7-dienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxo-7-hexadecenoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
trans,cis-myristo-2,5-dienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxomyrist-5-enoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
(3Z)-dodecenoyl-CoA[m]	6	10.158	0.015429	0.52224	-1.9753	0.87503	0.96733	22.469	0.017482	0.11111	4	19.768	0.014333	0.14204	2	10.962	0.22527	0.63481
trans,cis,cis-2,9,12-octadecatrienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxolinoleoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
cis,cis-palmito-7,10-dienoyl-CoA[m]	7	14.249	0.0012688	0.16495	-11.08	0.98794	0.99247	22.897	0.019392	0.1152	5	21.949	0.0092711	0.12041	2	8.1316	0.45522	0.76336
3-oxo-cis,cis-7,10-hexadecadienoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
cis,cis-myristo-5,8-dienoyl-CoA[m]	7	14.249	0.0012688	0.16495	-11.08	0.98794	0.99247	22.897	0.019392	0.1152	5	21.949	0.0092711	0.12041	2	8.1316	0.45522	0.76336
trans-2-cis,cis-5,8-tetradecatrienoyl-CoA[m]	6	4.9295	0.09357	0.73707	-2.1547	0.87891	0.96733	20.516	0.03797	0.13586	3	18.029	0.023794	0.14204	3	10.986	0.36959	0.718
3-oxo-cis,cis-5,8-tetradecadienoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
cis,cis-3,6-dodecadienoyl-CoA[m]	6	10.158	0.015429	0.52224	-1.9753	0.87503	0.96733	22.469	0.017482	0.11111	4	19.768	0.014333	0.14204	2	10.962	0.22527	0.63481
trans,cis-lauro-2,6-dienoyl-CoA[m]	5	-0.33235	0.32204	0.92789	8.5859	0.48629	0.84489	19.996	0.034639	0.13586	2	15.333	0.03934	0.18682	3	13.296	0.20163	0.63481
3-oxolaur-6-cis-enoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
4-cis-decenoyl-CoA[m]	7	14.249	0.0012688	0.16495	-11.08	0.98794	0.99247	22.897	0.019392	0.1152	5	21.949	0.0092711	0.12041	2	8.1316	0.45522	0.76336
2-trans-4-cis-decadienoyl-CoA[m]	6	-2.7902	0.4685	0.99976	10.123	0.44564	0.80265	20.325	0.040751	0.13773	2	14.981	0.043877	0.18682	4	14.3	0.21367	0.63481
8(R)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate[m]	5	7.9174	0.032914	0.73707	-0.51624	0.8324	0.96733	17.045	0.094484	0.21454	3	16.104	0.043803	0.18682	2	7.2279	0.53687	0.79202
3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
6(R)-hydroxy-tetradeca-(4E,8Z)-dienoate[m]	5	7.9174	0.032914	0.73707	-0.51624	0.8324	0.96733	17.045	0.094484	0.21454	3	16.104	0.043803	0.18682	2	7.2279	0.53687	0.79202
3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
8(S)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate[m]	5	7.9174	0.032914	0.73707	-0.51624	0.8324	0.96733	17.045	0.094484	0.21454	3	16.104	0.043803	0.18682	2	7.2279	0.53687	0.79202
3-oxo-8(S)-hydroxy-hexadeca-(6E,10Z)-dienoate[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
6(S)-hydroxy-tetradeca-(4E,8Z)-dienoate[m]	5	7.9174	0.032914	0.73707	-0.51624	0.8324	0.96733	17.045	0.094484	0.21454	3	16.104	0.043803	0.18682	2	7.2279	0.53687	0.79202
3-oxo-6(S)-hydroxy-tetradec-(8Z)-enoate[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
3-oxo-4(R),8-dimethyl-nonanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
3-oxo-(2S)-methylisocapryloyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
4-methyl-pentanoyl-CoA[m]	5	14.106	0.0020325	0.18716	-11.919	0.98659	0.99247	19.459	0.042262	0.13773	4	18.718	0.020887	0.14204	1	6.0759	0.44099	0.7533
3-oxo-4-methyl-pentanoyl-CoA[m]	5	5.669	0.071577	0.73707	1.7322	0.76336	0.9623	20.407	0.029607	0.1276	3	16.104	0.043803	0.18682	2	12.543	0.13278	0.54572
[protein]-L-cysteine[c]	11	-16.793	0.98299	0.99976	44.365	8.5852e-05	0.0038721	28.821	0.0062454	0.094452	2	10.51	0.145	0.31957	9	26.908	0.0078255	0.32381
3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA[m]	6	-4.8466	0.59921	0.99976	10.955	0.41091	0.77934	19.901	0.04751	0.14396	2	12.23	0.095448	0.30375	4	15.725	0.13263	0.54572
cholesterol[c]	39	-9.743	0.57709	0.99976	28.922	0.25227	0.63512	33.59	0.070328	0.17642	12	22.172	0.017763	0.14204	27	25.589	0.73546	0.90563
STAR[c]	9	-3.6398	0.48768	0.99976	3.6398	0.7703	0.9623	12.668	0.46718	0.60626	3	9.43	0.22302	0.38029	6	8.8476	0.84829	0.95763
cholesterol-STAR[c]	9	-3.6398	0.48768	0.99976	3.6398	0.7703	0.9623	12.668	0.46718	0.60626	3	9.43	0.22302	0.38029	6	8.8476	0.84829	0.95763
cholesterol[m]	7	-6.1329	0.64477	0.99976	20.946	0.11349	0.38349	14.133	0.2741	0.40628	2	7.1511	0.28422	0.43251	5	12.2	0.47858	0.77606
17alpha-hydroxypregnenolone[c]	10	-11.65	0.90401	0.99976	19.912	0.15432	0.47499	15.439	0.33461	0.46398	1	5.268	0.35432	0.5152	9	14.518	0.66193	0.87794
pregnenolone[c]	9	-11.315	0.89399	0.99976	15.67	0.27573	0.6742	14.645	0.33739	0.46638	1	5.268	0.35432	0.5152	8	13.671	0.65187	0.87159
21-hydroxypregnenolone[c]	5	-8.5527	0.81877	0.99976	8.5527	0.48774	0.84542	7.5773	0.61793	0.7591	0	NA	NA	NA	5	7.5773	0.83483	0.94583
11-deoxycorticosterone[c]	7	-7.2284	0.71002	0.99976	7.2284	0.60845	0.95736	0.19813	0.95824	1	2	-11.61	0.98438	0.99965	5	7.5773	0.83483	0.94583
corticosterone[c]	5	-8.1781	0.80182	0.99976	8.1781	0.50412	0.86634	0.68523	0.92985	0.99403	2	-11.61	0.98438	0.99965	3	10.364	0.42163	0.73271
17alpha,21-dihydroxypregnenolone[c]	7	-7.2284	0.71002	0.99976	7.2284	0.60845	0.95736	0.19813	0.95824	1	2	-11.61	0.98438	0.99965	5	7.5773	0.83483	0.94583
11-deoxycortisol[c]	5	-8.5527	0.81877	0.99976	8.5527	0.48774	0.84542	7.5773	0.61793	0.7591	0	NA	NA	NA	5	7.5773	0.83483	0.94583
cortisol[c]	10	-8.8709	0.79699	0.99976	13.002	0.40446	0.77934	7.3373	0.82371	0.95109	3	-6.32	0.92932	0.99319	7	12.907	0.6348	0.85636
17alpha-hydroxyprogesterone[c]	9	-11.215	0.8909	0.99976	15.57	0.27945	0.67851	5.91	0.85783	0.9694	2	-11.61	0.98438	0.99965	7	12.907	0.6348	0.85636
21-deoxycortisol[c]	6	-10.043	0.86125	0.99976	10.043	0.44902	0.80547	3.1584	0.88371	0.97164	2	-11.61	0.98438	0.99965	4	12.078	0.38416	0.718
11beta-hydroxyprogesterone[c]	6	-10.043	0.86125	0.99976	10.043	0.44902	0.80547	3.1584	0.88371	0.97164	2	-11.61	0.98438	0.99965	4	12.078	0.38416	0.718
progesterone[c]	9	-4.5781	0.54992	0.99976	5.7424	0.69372	0.9623	6.124	0.84946	0.9694	3	-2.7572	0.83289	0.91146	6	9.45	0.81312	0.92742
bilirubin[r]	23	-6.8231	0.5403	0.99976	9.5471	0.78667	0.9623	-7.7349	1	1	8	-14.24	0.99834	0.99965	15	0.82138	1	1
bilirubin-bisglucuronoside[r]	25	-4.6719	0.35044	0.95615	7.2847	0.8895	0.9751	-5.6166	0.99999	1	10	-9.8866	0.99398	0.99965	15	0.82138	1	1
estradiol-17beta[r]	62	-11.672	0.56064	0.99976	20.242	0.80582	0.96733	13.218	0.99924	1	23	-1.2732	0.95841	0.99965	39	17.643	0.99975	1
estradiol-17beta 3-glucuronide[r]	28	-5.3162	0.36242	0.98499	7.8948	0.89005	0.97522	-6.2048	1	1	10	-11.884	0.99749	0.99965	18	1.1193	1	1
17alpha-hydroxyprogesterone[r]	5	-9.595	0.86098	0.99976	15.437	0.21604	0.57223	9.9199	0.46048	0.59933	0	NA	NA	NA	5	9.9199	0.67469	0.89217
dehydroepiandrosterone[r]	5	-10.54	0.89299	0.99976	22.225	0.063017	0.26227	11.692	0.34414	0.47386	0	NA	NA	NA	5	11.692	0.5236	0.79202
4-androstene-3,17-dione[r]	46	-14.896	0.8385	0.99976	26.771	0.38044	0.77506	26.56	0.58021	0.71875	14	8.7082	0.47163	0.61274	32	26.085	0.84812	0.95763
estrone[r]	42	-10.273	0.58369	0.99976	20.686	0.63103	0.95736	23.365	0.70225	0.8286	16	8.7354	0.50038	0.64541	26	22.844	0.8699	0.97358
formate[r]	27	-4.5116	0.31015	0.92789	12.171	0.78816	0.96287	12.916	0.92368	0.99369	12	4.3579	0.70533	0.82745	15	13.43	0.96269	1
testosterone[r]	47	-13.778	0.75355	0.99976	23.621	0.56099	0.92977	24.774	0.6965	0.82314	15	8.612	0.51109	0.65798	32	24.128	0.92871	1
cortisol[r]	6	-6.9963	0.72462	0.99976	17.663	0.1739	0.51385	6.031	0.75881	0.88541	3	-6.32	0.92932	0.99319	3	14.849	0.12025	0.54572
cholesterol[r]	7	-12.816	0.93094	0.99976	27.629	0.026747	0.13876	12.526	0.3701	0.50241	1	-5.2167	0.88445	0.96113	6	15.659	0.2911	0.65092
testosterone glucuronide[r]	5	-3.9297	0.55516	0.99976	3.9297	0.68303	0.9623	2.6395	0.87319	0.9694	1	0.77113	0.61799	0.7578	4	2.5655	0.96731	1
androsterone[r]	10	2.7971	0.12334	0.81038	3.5432	0.79411	0.96587	16.025	0.29968	0.43773	4	15.924	0.051484	0.20765	6	7.6861	0.90293	0.99788
androsterone-glucuronide[r]	5	-3.9297	0.55516	0.99976	3.9297	0.68303	0.9623	2.6395	0.87319	0.9694	1	0.77113	0.61799	0.7578	4	2.5655	0.96731	1
5alpha-androstane-3,17-dione[r]	8	-0.34521	0.27092	0.92789	7.4338	0.61525	0.95736	16.117	0.21177	0.35874	2	16.466	0.027239	0.1532	6	9.1033	0.83394	0.94583
5-alpha-dihydrotestosterone[c]	7	-9.2152	0.81163	0.99976	14.153	0.3179	0.72521	6.0701	0.77288	0.9004	1	-7.804	0.94354	0.99796	6	9.7425	0.79436	0.91933
testosterone[c]	44	-12.627	0.73428	0.99976	22.8	0.54973	0.91691	23.778	0.72937	0.85831	16	6.5916	0.62123	0.75908	28	24.825	0.79523	0.91972
5-alpha-dihydrotestosterone[r]	8	-3.5069	0.47136	0.99976	3.5069	0.76791	0.9623	-0.94281	0.98554	1	2	-5.0091	0.88404	0.96113	6	1.8033	0.99612	1
dehydroepiandrosterone[c]	6	-10.812	0.88678	0.99976	21.479	0.089337	0.32473	11.772	0.39001	0.52269	0	NA	NA	NA	6	11.772	0.63726	0.85862
acetate[r]	5	-4.6304	0.60091	0.99976	10.473	0.40467	0.77934	2.144	0.88991	0.97734	3	-7.166	0.94416	0.99796	2	12.166	0.15202	0.57742
dehydroepiandrosterone sulfate[c]	9	-9.4577	0.826	0.99976	18.167	0.19141	0.55659	6.471	0.8352	0.96386	3	-5.5812	0.91403	0.97949	6	11.872	0.62852	0.85206
4-androstene-3,17-dione[c]	46	-13.155	0.75549	0.99976	25.031	0.45656	0.81174	24.325	0.71769	0.84592	16	6.7582	0.6121	0.75282	30	25.186	0.83946	0.95044
5alpha-androstane-3,17-dione[c]	5	4.3623	0.10639	0.73707	4.6042	0.65624	0.96116	13.347	0.24719	0.38717	3	9.3238	0.22753	0.38406	2	9.6845	0.32105	0.6869
androsterone[c]	5	0.6909	0.26341	0.92789	14.118	0.26077	0.64972	20.987	0.023548	0.1276	2	16.466	0.027239	0.1532	3	13.65	0.18071	0.60467
19-hydroxytestosterone[c]	27	-2.6493	0.21098	0.81038	10.308	0.84217	0.96733	11.743	0.94905	0.99403	13	4.6272	0.70965	0.82745	14	11.85	0.97283	1
19-oxo-testosterone[c]	27	-2.6493	0.21098	0.81038	10.308	0.84217	0.96733	11.743	0.94905	0.99403	13	4.6272	0.70965	0.82745	14	11.85	0.97283	1
estradiol-17beta[c]	39	-9.4766	0.55971	0.99976	18.191	0.68529	0.9623	22.605	0.68527	0.81341	15	8.8228	0.49874	0.64369	24	21.841	0.86874	0.97358
19-hydroxyandrostenedione[c]	27	-2.6493	0.21098	0.81038	10.308	0.84217	0.96733	11.743	0.94905	0.99403	13	4.6272	0.70965	0.82745	14	11.85	0.97283	1
19-oxoandrostenedione[c]	27	-2.6493	0.21098	0.81038	10.308	0.84217	0.96733	11.743	0.94905	0.99403	13	4.6272	0.70965	0.82745	14	11.85	0.97283	1
estrone[c]	43	-13.225	0.76894	0.99976	27.501	0.33258	0.72521	26.617	0.48722	0.62277	15	8.8228	0.49874	0.64369	28	26.527	0.67635	0.89384
estrone 3-sulfate[c]	15	-5.6629	0.53653	0.99976	19.425	0.2864	0.68948	11.223	0.7851	0.91176	6	2.2929	0.69239	0.82745	9	12.616	0.80314	0.91984
2-hydroxyestradiol-17beta[c]	34	-6.678	0.43647	0.99976	17.984	0.61152	0.95736	13.49	0.95761	1	13	4.6272	0.70965	0.82745	21	13.524	0.99636	1
2-hydroxyestradiol-17beta[r]	27	-2.6493	0.21098	0.81038	10.308	0.84217	0.96733	11.743	0.94905	0.99403	13	4.6272	0.70965	0.82745	14	11.85	0.97283	1
4-hydroxy-17beta-estradiol[c]	8	-10.345	0.86262	0.99976	19.583	0.14344	0.45287	7.623	0.75361	0.88214	0	NA	NA	NA	8	7.623	0.96319	1
4-hydroxyestrone[c]	8	-10.345	0.86262	0.99976	19.583	0.14344	0.45287	7.623	0.75361	0.88214	0	NA	NA	NA	8	7.623	0.96319	1
H+[l]	18	-11.497	0.8337	0.99976	27.345	0.093553	0.33673	19.593	0.3452	0.47486	4	8.5946	0.28513	0.43358	14	17.622	0.73254	0.90563
4-hydroxyestrone[l]	6	-6.3405	0.68838	0.99976	11.674	0.38145	0.77506	2.4534	0.90563	0.98788	0	NA	NA	NA	6	2.4534	0.99399	1
4-hydroxyestrone[r]	6	-6.3405	0.68838	0.99976	11.674	0.38145	0.77506	2.4534	0.90563	0.98788	0	NA	NA	NA	6	2.4534	0.99399	1
16alpha-hydroxyestrone[c]	27	-2.6493	0.21098	0.81038	10.308	0.84217	0.96733	11.743	0.94905	0.99403	13	4.6272	0.70965	0.82745	14	11.85	0.97283	1
16alpha-hydroxyestrone[r]	27	-2.6493	0.21098	0.81038	10.308	0.84217	0.96733	11.743	0.94905	0.99403	13	4.6272	0.70965	0.82745	14	11.85	0.97283	1
2-hydroxyestrone[c]	8	-10.345	0.86262	0.99976	19.583	0.14344	0.45287	7.623	0.75361	0.88214	0	NA	NA	NA	8	7.623	0.96319	1
